"Date","Period","Capacity"
37831,22,0.319887227
37831,23,0.31454494
37831,24,0.302094131
37831,25,0.289643322
37831,26,0.3701981225
37831,27,0.450752923
37831,28,0.453164688
37831,29,0.455576453
37831,30,0.36947985
37831,31,0.283383247
37831,32,0.212917957
37831,33,0.142452667
37831,34,0.0758859335
37831,35,0.0093192
37831,36,0.0046596
37831,37,0
37831,38,0
37831,39,0
37831,40,0
37831,41,0
37831,42,0
37831,43,0
37831,44,0
37831,45,0
37831,46,0
37831,47,0
37831,48,0
37832,1,0
37832,2,0
37832,3,0
37832,4,0
37832,5,0
37832,6,0
37832,7,0
37832,8,0
37832,9,0
37832,10,0
37832,11,0
37832,12,0
37832,13,0
37832,14,0
37832,15,0
37832,16,0.0549247925
37832,17,0.109849585
37832,18,0.1518473315
37832,19,0.193845078
37832,20,0.2466806835
37832,21,0.299516289
37832,22,0.29394398
37832,23,0.288371671
37832,24,0.330694102
37832,25,0.373016533
37832,26,0.37785189
37832,27,0.382687247
37832,28,0.365102091
37832,29,0.347516935
37832,30,0.3020362935
37832,31,0.256555652
37832,32,0.199404361
37832,33,0.14225307
37832,34,0.0756014515
37832,35,0.008949833
37832,36,0.0044749165
37832,37,0
37832,38,0
37832,39,0
37832,40,0
37832,41,0
37832,42,0
37832,43,0
37832,44,0
37832,45,0
37832,46,0
37832,47,0
37832,48,0
37833,1,0
37833,2,0
37833,3,0
37833,4,0
37833,5,0
37833,6,0
37833,7,0
37833,8,0
37833,9,0
37833,10,0
37833,11,0
37833,12,0
37833,13,0
37833,14,0
37833,15,0
37833,16,0.0498217945
37833,17,0.099643589
37833,18,0.1654494655
37833,19,0.231255342
37833,20,0.261752461
37833,21,0.29224958
37833,22,0.316020205
37833,23,0.33979083
37833,24,0.3688486585
37833,25,0.397906487
37833,26,0.3942208355
37833,27,0.390535184
37833,28,0.378780047
37833,29,0.36702491
37833,30,0.3218550845
37833,31,0.276685259
37833,32,0.212028845
37833,33,0.147372431
37833,34,0.078249541
37833,35,0.009126651
37833,36,0.0045633255
37833,37,0
37833,38,0
37833,39,0
37833,40,0
37833,41,0
37833,42,0
37833,43,0
37833,44,0
37833,45,0
37833,46,0
37833,47,0
37833,48,0
37834,1,0
37834,2,0
37834,3,0
37834,4,0
37834,5,0
37834,6,0
37834,7,0
37834,8,0
37834,9,0
37834,10,0
37834,11,0
37834,12,0
37834,13,0
37834,14,0
37834,15,0
37834,16,0.0498217945
37834,17,0.099643589
37834,18,0.1654494655
37834,19,0.231255342
37834,20,0.261752461
37834,21,0.29224958
37834,22,0.316020205
37834,23,0.33979083
37834,24,0.3688486585
37834,25,0.397906487
37834,26,0.3942208355
37834,27,0.390535184
37834,28,0.378780047
37834,29,0.36702491
37834,30,0.3218550845
37834,31,0.276685259
37834,32,0.212028845
37834,33,0.147372431
37834,34,0.078249541
37834,35,0.009126651
37834,36,0.0045633255
37834,37,0
37834,38,0
37834,39,0
37834,40,0
37834,41,0
37834,42,0
37834,43,0
37834,44,0
37834,45,0
37834,46,0
37834,47,0
37834,48,0
37835,1,0
37835,2,0
37835,3,0
37835,4,0
37835,5,0
37835,6,0
37835,7,0
37835,8,0
37835,9,0
37835,10,0
37835,11,0
37835,12,0
37835,13,0
37835,14,0
37835,15,0
37835,16,0.0498217945
37835,17,0.099643589
37835,18,0.1654494655
37835,19,0.231255342
37835,20,0.261752461
37835,21,0.29224958
37835,22,0.316020205
37835,23,0.33979083
37835,24,0.3688486585
37835,25,0.397906487
37835,26,0.3942208355
37835,27,0.390535184
37835,28,0.378780047
37835,29,0.36702491
37835,30,0.3218550845
37835,31,0.276685259
37835,32,0.212028845
37835,33,0.147372431
37835,34,0.078249541
37835,35,0.009126651
37835,36,0.0045633255
37835,37,0
37835,38,0
37835,39,0
37835,40,0
37835,41,0
37835,42,0
37835,43,0
37835,44,0
37835,45,0
37835,46,0
37835,47,0
